Sudoku Hard 1,0,7,0,9,0,4,0,0,1,0,0,0,0,0,2,0,5,4,0,9,0,6,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,4,9,8,0,6,0,5,1,0,2,7,0,4,0,0,0,0,0,0,0,0,3,2,0,9,5,0,0,0,6,0,0,0,0,0,0,0,4,7,0,0,0
Sudoku Hard 2,0,0,0,2,9,0,0,3,0,0,0,9,0,0,0,4,0,7,0,1,0,0,0,0,0,9,0,7,0,8,0,0,6,0,0,0,5,0,0,0,0,9,7,0,0,0,9,0,0,0,3,0,4,6,9,0,0,0,0,0,6,0,0,0,8,7,0,5,0,0,0,2,0,0,1,6,0,8,0,0,4
Sudoku Hard 3,0,0,0,4,1,0,0,0,0,7,3,0,0,0,0,4,6,0,0,0,1,0,8,3,0,0,0,0,0,6,0,0,4,0,7,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,1,4,3,3,0,0,0,0,0,6,9,0,0,0,0,6,0,0,3,0,7,0,9,4,3,0,0,0,8,2
Sudoku Hard 4,0,0,0,0,0,0,0,0,8,0,0,5,6,0,3,0,0,4,9,0,7,0,8,1,0,0,0,0,5,1,0,0,0,0,2,0,2,0,0,1,0,0,3,0,6,8,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,7,0,7,0,0,8,3,0,2,0,0,6,0,0,0,1,7,0,5,0
Sudoku Hard 5,0,0,6,0,8,0,0,0,0,0,5,0,0,2,0,0,0,7,9,4,0,1,0,7,5,0,0,8,3,0,0,0,0,0,0,6,0,9,1,0,5,0,3,0,0,0,0,5,0,0,8,0,0,0,4,0,9,0,0,0,6,0,0,0,0,0,0,3,0,0,0,4,5,0,0,8,0,4,2,0,0
Sudoku Hard 6,8,0,0,1,0,0,6,3,0,0,3,0,8,0,0,0,2,0,0,0,9,0,3,0,4,0,0,0,8,0,9,0,3,0,7,6,0,0,0,0,0,0,2,8,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,9,0,0,6,5,0,0,7,5,6,8,0,0,0
Sudoku Hard 7,0,9,0,0,0,0,0,7,0,1,7,0,0,2,0,4,0,5,5,0,4,0,0,0,0,0,0,0,0,8,4,0,0,0,3,6,0,0,0,2,0,5,0,1,4,0,0,0,0,9,3,0,0,0,7,6,0,0,0,0,0,0,8,9,0,0,0,1,0,0,0,7,0,0,1,0,3,0,0,2,0
Sudoku Hard 8,5,0,0,2,0,0,1,8,0,3,0,0,0,0,0,0,0,0,0,1,0,4,7,0,0,0,3,0,0,0,7,0,0,0,0,0,4,0,0,0,6,0,5,0,0,0,0,0,0,3,0,0,1,2,7,0,3,0,0,0,8,5,1,9,2,0,5,0,0,4,0,0,1,0,5,0,0,0,2,0,0
Sudoku Hard 9,0,5,3,2,1,4,0,0,0,0,0,1,0,0,0,3,0,0,6,8,0,0,3,5,1,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,2,0,0,9,1,0,0,0,4,6,0,7,0,0,0,0,0,7,0,0,0,0,0,0,2,8,0,0,0,1,0,5,1,0,0,0,9,0,0,8
Sudoku Hard 10,0,0,0,0,0,9,0,0,6,5,0,0,8,0,0,4,0,2,0,0,0,3,0,4,0,7,0,9,0,0,2,1,0,0,5,4,0,0,3,0,0,0,8,0,1,0,2,0,0,4,3,0,0,0,0,9,0,0,7,0,2,0,0,0,0,0,0,0,2,5,0,3,0,0,0,9,0,0,0,1,0
